code,desc,desc_normalized,tier1,tier2,n
T78.40,Allergic Reaction,Allergic Reaction,Allergic Reaction,Allergic Reaction,442
T78.2,Allergic Reaction- Anaphylaxis,Allergic Reaction- Anaphylaxis,Allergic Reaction,Anaphylaxis,60
L50.0,Allergic Urticaria (Hives),Allergic Urticaria (Hives),Allergic Reaction,Urticaria/Hives,62
R41.82,Altered Mental Status,Altered Mental Status,Altered Mental Status,Altered Mental Status,1954
F99,Behavioral Health Emergency (Other),Behavioral Health Emergency (Other),Behavioral/Psychiatric,Behavioral Health - Other,839
F99,MH- Unspecified Mental Disorder,MH- Unspecified Mental Disorder,Behavioral/Psychiatric,Behavioral Health - Other,647
F31.10,MH- Bipolar,MH- Bipolar,Behavioral/Psychiatric,Bipolar,66
F32.8,MH- Depression,MH- Depression,Behavioral/Psychiatric,Depression,85
R45.88,Behavioral HealthNonsuicidal Self Harm,Behavioral HealthNonsuicidal Self Harm,Behavioral/Psychiatric,Non-Suicidal Self-Harm,122
R45.88,Nonsuicidal self-harm,Nonsuicidal self-harm,Behavioral/Psychiatric,Non-Suicidal Self-Harm,2
F20.1,MH- Schizophrenia,MH- Schizophrenia,Behavioral/Psychiatric,Schizophrenia,108
R45.851,Behavioral HealthSuicidal Ideation,Behavioral HealthSuicidal Ideation,Behavioral/Psychiatric,Suicidal Ideation,303
R45.851,MH- Suicidal Ideations,MH- Suicidal Ideations,Behavioral/Psychiatric,Suicidal Ideation,213
T14.91,Behavioral HealthSuicide Attempt,Behavioral HealthSuicide Attempt,Behavioral/Psychiatric,Suicide Attempt,103
T14.91,MH- Suicide Attempt,MH- Suicide Attempt,Behavioral/Psychiatric,Suicide Attempt,89
R45.6,Behavioral HealthViolent/Combative,Behavioral HealthViolent/Combative,Behavioral/Psychiatric,Violent/Combative,137
T63.4,Trauma: Bite- Insect,Trauma: Bite- Insect,Bites/Envenomation,Insect Bite/Sting,87
T63.00,Trauma: Bite- Snake,Trauma: Bite- Snake,Bites/Envenomation,Snake Bite/Envenomation,11
T63.30,Trauma: Spider Bite/Envenomation,Trauma: Spider Bite/Envenomation,Bites/Envenomation,Spider Bite/Envenomation,48
T30.0,Trauma: Burns (any location),Trauma: Burns (any location),Burns,Burn,102
T20.00XA,Trauma: Burn- Head/Face,Trauma: Burn- Head/Face,Burns,Burn,31
T21.04,Trauma: Burn- Lower Back,Trauma: Burn- Lower Back,Burns,Burn,21
T22.00,Trauma: Burn- Arm,Trauma: Burn- Arm,Burns,Burn,20
T23.00,Trauma: Burn- Hand,Trauma: Burn- Hand,Burns,Burn,19
T21.01,Trauma: Burn- Chest Wall,Trauma: Burn- Chest Wall,Burns,Burn,13
T21.03,Trauma: Burn- Upper Back,Trauma: Burn- Upper Back,Burns,Burn,12
T24.00,Trauma: Burn- Leg,Trauma: Burn- Leg,Burns,Burn,11
T21.02,Trauma: Burn- Abdominal Wall,Trauma: Burn- Abdominal Wall,Burns,Burn,8
T20.07,Trauma: Burn- Neck,Trauma: Burn- Neck,Burns,Burn,5
T30,Trauma: Burn- Other,Trauma: Burn- Other,Burns,Burn,4
T25.02,Trauma: Burn- Foot,Trauma: Burn- Foot,Burns,Burn,3
T21.09,Trauma: Burn- Genital Region,Trauma: Burn- Genital Region,Burns,Burn,2
I20.9,Cardiac: Chest Pain (Not STEMI),Cardiac: Chest Pain (Not STEMI),Cardiac - Chest Pain/ACS,Chest Pain (Non-STEMI),919
I20.9,Cardiac- Chest Pain (Angina or Ischemic),Cardiac- Chest Pain (Angina or Ischemic),Cardiac - Chest Pain/ACS,Chest Pain (Non-STEMI),740
I21.3,Cardiac: STEMI,Cardiac: STEMI,Cardiac - Chest Pain/ACS,STEMI,50
I21.3,Cardiac- ST Elevation (STEMI),Cardiac- ST Elevation (STEMI),Cardiac - Chest Pain/ACS,STEMI,18
I46.9,Cardiac Arrest,Cardiac Arrest,Cardiac Arrest,Cardiac Arrest,365
I46.9,Cardiac- Cardiac Arrest (Cause Unknown),Cardiac- Cardiac Arrest (Cause Unknown),Cardiac Arrest,Cardiac Arrest,230
I71.4,"Abdominal Aortic Aneurysm, without rupture (AAA)","Abdominal Aortic Aneurysm, without rupture (AAA)",Cardiac/Vascular - Other,AAA,3
I49.9,Cardiac: Arrhythmia/Dysrhythmia,Cardiac: Arrhythmia/Dysrhythmia,Cardiac/Vascular - Other,Arrhythmia/Dysrhythmia,216
I49.9,Cardiac- Arrhythmia/Dysrhythmia,Cardiac- Arrhythmia/Dysrhythmia,Cardiac/Vascular - Other,Arrhythmia/Dysrhythmia,108
